region,match_time,team1,team1acro,team2,team2acro,game_ids,game_hashes,match_url
OPL,2019-08-02T06:00:00.000+0000,Dire Wolves,DW,Legacy Esports,LGC,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=48101773-bfe5-48ff-aa7f-721fec4d2dc6
OPL,2019-08-02T07:00:00.000+0000,Avant Gaming,AV,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=333221c8-b377-4ff1-9d53-6c1414c05389
OPL,2019-08-02T08:00:00.000+0000,Bombers,BMR,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=6ea20497-ae06-4768-af48-11e1cbb4f43d
OPL,2019-08-02T09:00:00.000+0000,The Chiefs Esports Club,CHF,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=1dbda261-2253-4a60-98fc-17854a5ac11c
OPL,2019-08-03T06:00:00.000+0000,Dire Wolves,DW,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=bbb782bc-464c-4205-9a2a-4418e9230f5d
OPL,2019-08-03T07:00:00.000+0000,The Chiefs Esports Club,CHF,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=7ad6afe6-b624-49c5-a98e-491524bc6594
OPL,2019-08-03T08:00:00.000+0000,Bombers,BMR,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=e556162e-417b-4940-bf51-ee3f4c4c9767
OPL,2019-08-03T09:00:00.000+0000,Avant Gaming,AV,Legacy Esports,LGC,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=4331e804-e0ee-46c7-88ad-565ec978c36e
OPL,2019-08-09T06:00:00.000+0000,MAMMOTH,MMM,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=676b2400-5042-471e-b3b2-e4de6b110949
OPL,2019-08-09T07:00:00.000+0000,The Chiefs Esports Club,CHF,Dire Wolves,DW,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=ecdb2b1c-1289-4e78-b2d9-2942b276a728
OPL,2019-08-09T08:00:00.000+0000,Avant Gaming,AV,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=34ce427f-f9f6-4cac-ad50-69dd80dda671
OPL,2019-08-09T09:00:00.000+0000,Legacy Esports,LGC,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=a5b6c133-1883-43d5-a3ad-1a3acffa26e4
OPL,2019-08-10T06:00:00.000+0000,Avant Gaming,AV,The Chiefs Esports Club,CHF,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=13c45fcc-b5c1-4e28-b791-59478bcc9e2b
OPL,2019-08-10T07:00:00.000+0000,Dire Wolves,DW,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=544b432d-6057-4c5f-837a-2096b0cf263f
OPL,2019-08-10T08:00:00.000+0000,Order,ORD,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=8c0d94ce-d684-4e25-b7e7-40a728ee27e7
OPL,2019-08-10T09:00:00.000+0000,Legacy Esports,LGC,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=ece4a9d5-5030-454d-925e-83bacd54f7b2
OPL,2019-08-16T06:00:00.000+0000,Avant Gaming,AV,Dire Wolves,DW,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=6e167f4f-7616-40da-a8b1-9d11f4d279e8
OPL,2019-08-16T07:00:00.000+0000,Order,ORD,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=2edc658b-f598-4ef4-9e62-eb4b4a714b83
OPL,2019-08-16T08:00:00.000+0000,The Chiefs Esports Club,CHF,Legacy Esports,LGC,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=90369463-33e1-4b35-8615-476f6bb996c2
OPL,2019-08-16T09:00:00.000+0000,Bombers,BMR,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=77cec7b8-148c-4612-8c1f-d3cfc39317ff
OPL,2019-08-16T10:00:00.000+0000,The Chiefs Esports Club,CHF,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=ef742b91-db6a-4074-9b3d-02ee3154ff46
OPL,2019-08-16T11:00:00.000+0000,Legacy Esports,LGC,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=b851cfc0-11dc-4d64-9a00-3e374228671d
OPL,2019-08-17T06:00:00.000+0000,Dire Wolves,DW,Gravitas,GRV,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=9c974fb1-4ccc-4859-bd77-4c4226875ff9
OPL,2019-08-17T07:00:00.000+0000,Avant Gaming,AV,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=c4baedd0-b4af-4f31-8185-990855d9aae9
OPL,2019-08-17T08:00:00.000+0000,Dire Wolves,DW,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=1b1007d8-c9c2-411e-b30e-3a6c6667e892
OPL,2019-08-17T09:00:00.000+0000,Avant Gaming,AV,Order,ORD,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=dae4486b-5518-4ed9-9ffe-55aebf1b52be
OPL,2019-08-17T10:00:00.000+0000,Legacy Esports,LGC,MAMMOTH,MMM,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=90156346-0830-432d-83ad-2197963c6c17
OPL,2019-08-17T11:00:00.000+0000,The Chiefs Esports Club,CHF,Bombers,BMR,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=82a59cd7-63d0-43f2-90b5-22411100627a
OPL,2019-08-22T06:00:00.000+0000,,,,,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=18ad19e9-20e1-449f-88a5-6301cc3a19c4
OPL,2019-08-23T06:00:00.000+0000,,,,,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=0a00f497-c52d-424b-a279-6db41b81f824
OPL,2019-08-24T06:00:00.000+0000,,,,,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=59a56b32-5fbd-4728-9142-320c389a1220
OPL,2019-08-31T06:00:00.000+0000,,,,,,,https://api.lolesports.com/api/v2/highlanderMatchDetails?tournamentId=808ea0d5-d67e-490a-957f-4a806f27224e&matchId=efabdf26-cc82-4182-ad84-66243bfb2c54
